symbol,company,slug,url
7203,Elm,elm,https://cma.gov.sa/en/Market/Prospectuses/Documents/elm_en.pdf
1321,East Pipes Integrated,east_pipes,https://cma.gov.sa/en/Market/Prospectuses/Documents/east_pipes_en.pdf
4162,Almunajem Foods,almunajem,https://cma.gov.sa/en/Market/Prospectuses/Documents/almunajem_en.pdf
1111,Saudi Tadawul Group Holding,tadawul_group,https://cma.gov.sa/en/Market/Prospectuses/Documents/Saudi_Tadawul_Group_en.pdf
4081,Nayifat Finance,nayifat,https://cma.gov.sa/en/Market/Prospectuses/Documents/Nayifat_en.pdf
4071,Arabian Contracting Services (Al Arabia),al_arabia,https://cma.gov.sa/en/Market/Prospectuses/Documents/Arabian_Contracting_en.pdf
2082,ACWA Power,acwa_power,https://cma.gov.sa/Market/Prospectuses/Documents/Acwa_Main_Ar.pdf
7202,solutions by stc,solutions_stc,https://cma.gov.sa/en/Market/Prospectuses/Documents/solutions_by stc_en.pdf
2281,Tanmiah Food,tanmiah,https://cma.gov.sa/en/Market/Prospectuses/Documents/Tanmiah_EN.pdf
4261,Theeb Rent a Car,theeb,https://cma.gov.sa/en/Market/Prospectuses/Documents/Theeb_en.pdf
2081,Alkhorayef Water and Power Technologies,alkhorayef,https://cma.gov.sa/en/Market/Prospectuses/Documents/alkhorayef_en.pdf
4161,BinDawood Holding,bindawood,https://cma.gov.sa/en/Market/Prospectuses/Documents/Dawood_en.pdf
1182,Amlak International,amlak,https://cma.gov.sa/en/Market/Prospectuses/Documents/Amlak_en.pdf
4013,Dr Sulaiman Al Habib Medical Services,sulaiman_habib,https://cma.gov.sa/en/Market/Prospectuses/Documents/Dr. Sulaiman Al-Habib.pdf
2222,Saudi Arabian Oil (Aramco),aramco,https://cma.gov.sa/en/Market/Prospectuses/Documents/Saudi_Aramco_Prospectus.pdf
4292,Ataa Educational,ataa,https://cma.gov.sa/Market/Prospectuses/Documents/ATAA_Prospectus.pdf
1831,Maharah Human Resources,maharah,https://cma.gov.sa/en/Market/Prospectuses/Documents/Maharah_Prospectus_en.PDF
4321,Arabian Centres (Cenomi Centers),arabian_centres,https://cma.gov.sa/en/Market/Prospectuses/Documents/ACC-IPO-Main-Arabic-Prospectus-en.pdf
7200,Al Moammar Information Systems (MIS),mis,https://cma.gov.sa/en/Market/Prospectuses/Documents/MIS_Prospectus_en.pdf
4291,National Co for Learning and Education,ncle,https://cma.gov.sa/Market/Prospectuses/Documents/NCLE-IPO-Arabic-Prospectus.pdf
1830,Leejam Sports,leejam,https://cma.gov.sa/en/Market/Prospectuses/Documents/Leejam_Sports_Company_prospectus_EN.pdf
